"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 24, 2011","18,350.74","18,286.42","18,373.97","18,269.32","11.11K","0.79%"
"Mar 23, 2011","18,206.16","17,972.04","18,218.28","17,950.17","13.34K","1.21%"
"Mar 22, 2011","17,988.30","17,929.09","18,041.38","17,878.80","11.77K","0.84%"
"Mar 21, 2011","17,839.05","17,984.72","18,007.73","17,792.17","12.45K","-0.22%"
"Mar 18, 2011","17,878.81","18,251.18","18,259.61","17,849.53","16.40K","-1.49%"
"Mar 17, 2011","18,149.87","18,227.16","18,354.27","18,104.02","18.12K","-1.14%"
"Mar 16, 2011","18,358.69","18,263.68","18,444.47","18,263.68","16.22K","1.05%"
"Mar 15, 2011","18,167.64","18,113.79","18,326.33","17,920.55","22.34K","-1.47%"
"Mar 14, 2011","18,439.48","18,167.10","18,463.84","18,155.43","15.38K","1.46%"
"Mar 11, 2011","18,174.09","18,248.11","18,368.43","18,063.29","20.59K","-0.84%"
"Mar 10, 2011","18,327.98","18,430.84","18,430.84","18,261.26","18.68K","-0.77%"
"Mar 09, 2011","18,469.95","18,522.80","18,583.30","18,303.80","22.62K","0.16%"
"Mar 08, 2011","18,439.65","18,277.34","18,466.81","18,266.62","13.80K","1.19%"
"Mar 07, 2011","18,222.67","18,361.65","18,363.45","18,058.71","15.20K","-1.43%"
"Mar 04, 2011","18,486.45","18,622.70","18,736.97","18,448.69","19.89K","-0.02%"
"Mar 03, 2011","18,489.76","18,318.32","18,603.57","18,253.62","28.61K","0.23%"
"Mar 01, 2011","18,446.50","17,982.28","18,478.68","17,964.39","24.76K","3.50%"
"Feb 28, 2011","17,823.40","17,811.08","18,296.53","17,718.88","29.94K","0.69%"
"Feb 25, 2011","17,700.91","17,775.08","17,812.44","17,469.97","21.88K","0.39%"
"Feb 24, 2011","17,632.41","18,135.12","18,135.12","17,559.70","23.04K","-3.00%"
