Date,Open,High,Low,Close,Adj Close,Volume
2007-08-09,248.750000,250.625000,240.625000,241.781006,72.002792,10244784
2007-08-10,231.886993,245.875000,231.886993,244.988007,72.957825,14852240
2007-08-13,246.250000,246.250000,240.149994,243.738007,72.585587,6277472
2007-08-14,243.750000,245.125000,241.830994,244.425003,72.790169,4490672
2007-08-16,233.750000,240.875000,232.774994,239.136993,71.215401,14135888
2007-08-17,239.869003,239.869003,217.893997,231.819000,69.036102,27524232
2007-08-20,239.375000,239.375000,227.561996,228.649994,68.092361,13752864
2007-08-21,228.875000,231.261993,219.031006,220.169006,65.566696,20084032
2007-08-22,220.625000,226.050003,218.750000,223.587006,66.584579,9464336
2007-08-23,231.125000,231.244003,224.024994,226.444000,67.435410,13791248
2007-08-24,222.643997,229.188004,222.643997,228.199997,67.958336,7405424
2007-08-27,229.875000,231.375000,227.037994,230.962006,68.780861,5364912
2007-08-28,228.750000,236.750000,228.250000,235.031006,69.992622,10137472
2007-08-29,230.125000,233.750000,227.561996,229.656006,68.391937,11615696
2007-08-30,231.250000,233.800003,230.125000,233.149994,69.432472,8973008
2007-08-31,235.625000,235.625000,231.000000,231.819000,69.036102,7885336
2007-09-03,233.125000,233.750000,231.875000,232.580994,69.263008,4769872
2007-09-04,240.337006,240.337006,221.875000,236.212006,70.344345,5593768
2007-09-05,235.500000,240.619003,235.406006,236.880997,70.543556,8701272
2007-09-06,234.500000,238.625000,234.500000,237.975006,70.869370,3881216
2007-09-07,238.875000,240.625000,237.625000,238.561996,71.044159,5357776
2007-09-10,236.561996,238.087006,233.205994,233.938004,69.667137,5928440
2007-09-11,235.750000,235.750000,226.875000,227.850006,67.854111,7806928
2007-09-12,228.125000,233.250000,226.643997,227.731003,67.818680,7977880
2007-09-13,228.125000,232.750000,227.938004,229.281006,68.280273,9630800
2007-09-14,230.000000,232.250000,228.787994,229.636993,68.386284,9550288
2007-09-17,231.750000,231.863007,224.061996,225.600006,67.184052,11030912
2007-09-18,225.000000,226.843994,223.311996,225.569000,67.174820,13408016
2007-09-19,230.000000,233.500000,230.000000,231.449997,68.926201,17208904
2007-09-20,230.000000,230.625000,224.393997,225.050003,67.020279,10340064
2007-09-21,223.750000,231.250000,219.125000,228.238007,67.969658,15328600
2007-09-24,228.500000,228.744003,220.000000,220.380997,65.629829,17386784
2007-09-25,223.125000,224.375000,218.561996,221.419006,65.938957,17385008
2007-09-26,222.500000,229.337006,221.250000,228.143997,67.941666,13126264
2007-09-27,234.011993,241.587006,229.375000,239.481003,71.317848,30952096
2007-09-28,240.625000,243.750000,233.375000,236.593994,70.458092,16135888
2007-10-01,236.875000,239.375000,231.587006,238.169006,70.927132,12118896
2007-10-03,240.000000,251.863007,238.750000,250.194000,74.508186,26572224
2007-10-04,251.250000,251.250000,245.250000,249.863007,74.409615,14354928
2007-10-05,250.000000,250.000000,246.949997,247.863007,73.814018,8433464
2007-10-08,250.000000,253.125000,248.000000,250.455994,74.586212,8695752
2007-10-09,248.125000,256.500000,248.125000,255.925003,76.214890,13053992
2007-10-10,261.830994,267.743988,257.500000,265.631012,79.105370,22305808
2007-10-11,262.500000,262.500000,245.375000,247.106003,73.588593,35483448
2007-10-12,245.625000,246.863007,237.975006,241.212006,71.833328,20546200
2007-10-15,245.975006,245.975006,239.250000,240.975006,71.762779,14805752
2007-10-16,232.662994,241.250000,230.011993,233.294006,69.475357,20676272
2007-10-17,225.000000,238.500000,223.125000,236.287994,70.366951,16105088
2007-10-18,237.500000,243.750000,232.100006,236.250000,72.188713,18871056
2007-10-19,237.500000,241.250000,234.518997,238.705994,72.939194,11118784
2007-10-22,232.250000,238.774994,232.250000,235.843994,72.064667,10683432
2007-10-23,237.500000,239.699997,233.750000,235.431000,71.938469,12346344
2007-10-24,237.625000,239.750000,229.136993,230.561996,70.450691,11446248
2007-10-25,231.375000,234.475006,228.125000,229.630997,70.166214,12955840
2007-10-26,229.375000,231.875000,228.000000,231.031006,70.593994,8279104
2007-10-29,237.500000,237.500000,231.899994,232.574997,71.065788,5328480
2007-10-30,233.750000,235.500000,229.949997,231.774994,70.821335,5996440
2007-10-31,233.688004,235.643997,227.261993,229.681000,70.181503,10025528
2007-11-01,233.955994,235.000000,229.500000,234.244003,71.575775,9522528
2007-11-02,231.250000,241.250000,227.625000,239.643997,73.225792,10208808
2007-11-05,237.500000,241.087006,230.044006,231.750000,70.813683,6211480
2007-11-06,231.250000,234.375000,231.250000,231.468994,70.727837,4517832
2007-11-07,231.419006,231.419006,216.875000,218.238007,66.684967,23151400
2007-11-08,214.837006,218.125000,212.875000,214.544006,65.556229,15705240
2007-11-12,209.375000,209.375000,201.268997,205.231003,62.710533,25324832
2007-11-13,203.125000,211.636993,200.875000,203.393997,62.149220,23517112
2007-11-14,210.000000,216.250000,207.000000,213.494003,65.235382,16262008
2007-11-15,212.500000,212.500000,204.750000,205.912994,62.918915,13053800
2007-11-16,205.912994,208.000000,202.250000,203.125000,62.067024,9711528
2007-11-19,206.250000,206.250000,202.000000,202.494003,61.874203,14441160
2007-11-20,200.875000,202.500000,194.169006,195.712006,59.801903,22736872
2007-11-21,193.125000,198.375000,192.500000,193.386993,59.091473,16523872
2007-11-22,193.744003,195.011993,189.875000,191.449997,58.499607,12576744
2007-11-23,193.750000,200.587006,191.712006,194.688004,59.489006,16680696
2007-11-26,195.625000,199.681000,195.625000,196.994003,60.193634,9515520
2007-11-27,196.994003,198.250000,195.343994,196.705994,60.105618,11749864
2007-11-28,198.625000,199.375000,194.875000,196.162994,59.939709,9458944
2007-11-29,200.625000,201.750000,193.750000,195.906006,59.861179,24061072
2007-11-30,196.750000,203.113007,196.750000,200.311996,61.207478,27369392
2007-12-03,200.311996,204.000000,198.574997,200.044006,61.125587,20101040
2007-12-04,199.811996,203.462006,198.850006,201.912994,61.696674,11367656
2007-12-05,202.462006,202.462006,198.811996,200.438004,61.245995,9996752
2007-12-06,201.412994,206.125000,201.412994,204.419006,62.462414,14144400
2007-12-07,206.250000,218.662994,203.781006,215.287994,65.783554,21737160
2007-12-10,217.438004,220.962006,212.500000,218.587006,66.791611,12426168
2007-12-11,218.587006,219.875000,213.375000,218.037994,66.623840,8444392
2007-12-12,213.750000,215.000000,207.125000,210.718994,64.387451,12351000
2007-12-13,211.750000,212.363007,206.531006,207.494003,63.402035,6652856
2007-12-14,206.500000,209.337006,204.761993,205.787994,62.880726,4281176
2007-12-17,206.250000,207.375000,201.500000,203.044006,62.042271,7347000
2007-12-18,191.705994,209.375000,191.705994,202.244003,61.797825,8413376
2007-12-19,204.324997,206.250000,204.018997,204.925003,62.617039,5297880
2007-12-20,205.875000,215.000000,205.587006,211.944000,64.761765,15204048
2007-12-24,214.800003,227.375000,213.750000,226.268997,69.138916,16365336
